New Hampshire_x,New Hampshire_y
210,236501
341,241410
247,248242
215,255746
314,261912
362,270198
207,278812
270,282343
305,289813
302,297909
432,306918
435,315641
345,327787
375,333706
198,336445
488,339922
445,345874
482,352868
375,359702
452,368356
277,377145
266,380950
573,385013
549,390003
814,395378
495,399555
510,403769
380,408402
435,410366
526,412057
730,414738
