Alaska_x,Alaska_y
350,168069
89,168646
177,170586
140,172414
141,174588
0,178237
0,180948
0,182230
330,184906
233,188281
228,190712
107,193951
0,197436
0,202410
373,205256
101,206403
170,210932
152,213432
65,216781
0,221157
0,228333
348,230614
172,231342
218,233037
145,236062
182,239599
0,242733
0,245355
0,246515
623,247097
0,248711
