Rhode Island_x,Rhode Island_y
966,192198
261,196835
436,201965
442,208621
394,215497
0,222457
0,229095
860,234708
296,240963
318,246202
525,252545
382,258664
0,263449
0,267498
985,276994
263,283670
434,286139
432,290175
423,293953
0,299515
0,305815
1000,310605
297,314642
471,317684
483,321271
485,324894
0,326997
0,331853
723,336637
267,345689
564,349215
