Missouri_x,Missouri_y
988,865315
1046,872317
1048,893880
976,917676
963,945451
536,976273
449,1007667
969,1027201
1190,1038458
880,1060792
1126,1085613
1051,1110044
706,1186989
527,1188641
916,1205497
1073,1212720
1068,1235858
809,1268923
924,1297290
601,1334902
405,1371336
813,1387811
982,1398975
2232,1423166
1381,1452035
806,1472899
613,1501509
477,1529606
767,1544780
989,1550103
967,1568169
