Wyoming_x,Wyoming_y
83,99880
69,99916
100,103398
78,103497
89,104955
0,110594
0,110971
168,114824
94,115046
47,116799
108,116948
64,121792
0,125878
0,129196
196,129287
35,130020
109,130099
35,130178
106,134295
0,134422
0,134703
186,134800
88,142012
109,142147
42,146634
136,146888
0,147098
0,147413
174,156608
59,156638
79,156910
