Florida_x,Florida_y
1692,3166839
9349,3184067
7274,3237174
8041,3328742
7491,3416396
5931,3574315
4854,3714407
4147,3718074
5892,3760044
6348,3833243
6531,3963502
6881,4076435
6406,4325176
4421,4387617
3159,4388959
6430,4436541
5888,4524707
4771,4652763
6465,4760399
6303,4963147
5122,5106288
3700,5109346
6802,5152128
7022,5255602
7291,5403866
7224,5546514
7666,5677465
6116,5837452
4122,5840928
6209,5916809
5146,6005354
