Hawaii_x,Hawaii_y
26,250646
33,251442
17,253718
55,259210
51,264868
81,271432
47,272100
41,280866
41,287071
41,294934
54,304606
64,314009
62,322222
50,329359
44,333759
45,339603
66,349281
86,359319
93,369835
85,378607
71,387067
78,390305
38,396262
55,404267
115,410879
117,420788
104,421727
102,422366
0,439169
161,444099
90,450539
