Kansas_x,Kansas_y
811,439896
0,444176
1016,451969
0,462106
752,475698
0,491746
165,508326
688,515054
0,521147
1001,532078
0,548492
704,582831
0,586038
0,618089
470,623934
0,628555
686,638421
352,659314
606,686025
0,713468
0,737576
1019,742985
0,747131
1139,762289
0,779552
607,800279
0,829687
0,846744
512,854185
0,859214
510,873196
