Michigan_x,Michigan_y
2161,1514180
2217,1536958
1874,1562225
2128,1590980
2096,1644210
2095,1702571
0,1758766
2606,1789580
2116,1805357
3048,1834706
3047,1880098
3485,1936578
2347,2001598
0,2053751
4513,2056704
3108,2105973
4406,2152908
3609,2216026
5104,2271780
3850,2339274
0,2398995
6732,2442742
5504,2463672
5890,2508416
6462,2561046
7094,2616763
5820,2672984
0,2725322
10274,2779143
7435,2801025
7903,2858070
