Louisiana_x,Louisiana_y
509,678364
984,684129
697,699188
982,717682
672,740587
0,741136
960,741681
679,805777
870,811301
779,825386
514,846690
645,872278
0,925322
1120,925437
206,937967
1373,945870
610,963135
686,963543
281,1008581
0,1034428
0,1055689
1695,1072631
1017,1076810
673,1094503
521,1113976
597,1133250
0,1156621
0,1177111
1079,1191044
700,1195911
713,1219539
