Dates,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,United States
20210311,790864,190712,1496266,514556,7600220,1133732,948575,184777,3963502,1474110,304606,315010,2512334,1212721,680387,548492,922079,846690,297824,1211872,1608665,1880098,1213677,538774,1085613,230731,411300,568912,306918,1958556,563149,3892844,1950352,178388,2161650,863480,785467,2530355,252545,928283,221398,1123145,4893813,529682,135916,1730680,1515461,379579,1199903,116948,428103,63333714
20210312,816418,193951,1529482,541936,7738923,1165790,984384,190252,4076435,1548497,314009,324180,2603710,1239957,699106,582831,953333,872278,320144,1245004,1650762,1936578,1249489,539704,1110044,237009,421931,585867,315641,2018387,581690,4010039,2014895,186005,2232778,891158,806341,2548224,258664,950186,226056,1161962,5100346,562291,139766,1776967,1555378,397640,1240451,121792,440880,65209541
20210313,841394,197436,1562876,579022,8025538,1199979,933227,196931,4325176,1608162,322222,332271,2754782,1297780,734296,586038,1020088,925322,321118,1291426,1717752,2001598,1330070,589064,1186989,243698,428913,603756,327787,2090835,591927,4226184,2181724,192137,2319341,920680,847034,2751412,263449,1017396,232966,1201964,5293079,587893,149120,1827363,1597377,414266,1323842,125878,473335,68113913
20210314,849337,202410,1602626,579157,8027407,1200280,933367,197168,4387617,1662522,329359,340495,2755219,1297939,734394,618089,1022830,925437,343171,1316888,1718071,2053751,1330645,589211,1188641,251203,429096,622883,333706,2126722,608238,4226938,2193331,197376,2388057,942162,870504,2812196,267498,1017665,241971,1238369,5417558,611477,149158,1872241,1638176,417836,1324859,129196,473423,69007870
20210315,854302,205256,1629972,586266,8287692,1232096,952509,208306,4388959,1689912,333759,345005,2812496,1318159,751143,623934,1044344,937967,351485,1335141,1751693,2056704,1353203,593525,1205497,252446,444391,640086,336445,2158901,613331,4323082,2233748,198656,2441898,955816,888090,2862957,276994,1042042,244353,1260166,5509231,612437,153973,1913741,1686163,418889,1346547,129287,473540,70266535
20210316,871536,206403,1655300,589436,8540236,1239039,964706,211783,4436541,1707798,339603,348653,2856270,1323727,755782,628555,1051308,945870,354594,1363597,1759203,2105973,1358707,595233,1212720,254359,449836,644080,339922,2199384,621579,4404294,2293986,198709,2466334,960142,905439,2901757,283670,1049599,245286,1265605,5601318,626747,156682,1938252,1714661,421226,1356659,130020,485504,71337623
20210317,893767,210932,1682456,602085,8847129,1262328,977155,218487,4524707,1710417,349281,349038,2909272,1345400,756625,638421,1072092,963135,354939,1397258,1805897,2152908,1379321,604746,1235858,257975,457500,651736,345874,2251222,630828,4487772,2337632,200698,2507736,975627,906252,3012928,286139,1065987,248205,1300220,5750589,639360,158711,1968155,1742242,426168,1373417,130099,499268,72855994
20210318,912663,213432,1716937,615670,9097819,1285898,993878,225478,4652763,1774120,359319,359793,2983268,1374484,772635,659314,1099332,963543,355660,1428416,1845302,2216026,1399649,617430,1268923,263148,467152,672177,352868,2312582,642435,4598782,2406584,203723,2574120,1000385,918539,3087042,290175,1092529,251987,1334622,5912169,649591,162595,2015460,1776669,435450,1405196,130178,516877,74664787
20210319,937614,216781,1720172,635565,9302378,1320575,1014611,231420,4760399,1777288,369835,369859,3044878,1407346,794504,686025,1129895,1008581,373062,1475036,1886403,2271780,1436197,623350,1297290,269085,480168,689756,359702,2372189,658512,4706737,2468201,209842,2646831,1025111,952346,3104875,293953,1118812,256112,1361297,6052656,649947,167409,2068249,1816100,450766,1441789,134295,535207,76380791
20210320,960539,221157,1762337,653550,9562989,1378562,1034439,238813,4963147,1920080,378607,382524,3147727,1440383,813481,713468,1164238,1034428,373307,1479109,1932142,2339274,1471972,637529,1334902,275589,480879,710024,368356,2430590,677668,4846355,2538508,215512,2728608,1047673,978493,3124834,299515,1134174,261798,1394341,6195559,650394,172303,2128858,1858543,467091,1488169,134422,551935,78498895
20210321,968459,228333,1804760,670894,9833939,1413334,1057505,246522,5106288,1999241,387067,394331,3241285,1469086,833700,737576,1198585,1055689,374074,1545134,1973933,2398995,1511191,652213,1371336,282065,497565,728878,377145,2475567,691431,4980453,2608692,218943,2810887,1070180,1004599,3130512,305815,1170754,267282,1432648,6320852,696065,177451,2174085,1915110,473087,1542799,134703,567468,80528506
20210322,972986,230614,1835039,677806,10070870,1428551,1079370,251478,5109346,2058969,390305,400267,3307733,1489440,846801,742985,1220786,1072631,398960,1567725,2008501,2442742,1534133,655574,1387811,284626,515361,742578,380950,2510167,699102,5082402,2649588,220711,2866528,1081578,1019809,3209843,310605,1199352,268972,1452601,6390503,696212,179725,2204874,1968308,474100,1570598,134800,576006,81871322
20210323,994253,231342,1851810,680549,10279020,1451398,1093483,252231,5152128,2059451,396262,403821,3340960,1495417,852108,747131,1231911,1076810,401820,1594230,2026414,2463672,1542418,656843,1398975,284822,519877,746550,385013,2514665,701349,5195034,2670792,220775,2903017,1086326,1032205,3481464,314642,1209308,269800,1461295,6467491,709295,183362,2223428,1982908,477015,1584076,142012,582434,83023412
20210324,1019858,233037,1877865,694124,10522002,1475619,1108552,258688,5255602,2121979,404267,409788,3399403,1522442,860056,762289,1249160,1094503,402086,1632393,2067842,2508416,1560304,666971,1423166,290203,529612,757829,390003,2606788,706947,5288759,2726114,222233,2965678,1111515,1044742,3578990,317684,1238605,274493,1495500,6453836,722387,185840,2279224,2008970,482432,1605873,142147,596224,84553040
20210325,1048838,236062,1940953,710494,10757446,1510575,1131532,265056,5403866,2179249,410879,418189,3481498,1554964,877325,779552,1271160,1113976,414454,1671238,2107488,2561046,1582691,679635,1452035,296319,540911,776760,395378,2661886,722460,5378106,2775957,225684,3031371,1130532,1067154,3601385,321271,1264061,279590,1531296,6642893,744143,188433,2321609,2046826,489826,1647536,146634,618414,86406636
20210326,1072623,239599,1983569,730820,11059981,1551393,1155239,272395,5546514,2256114,420788,428376,3576707,1589654,896691,800279,1300503,1133250,427081,1717992,2154775,2616763,1620242,680180,1472899,303060,552599,794374,399555,2720391,739270,5509579,2837266,229811,3111035,1152719,1095410,3739501,324894,1295089,286727,1573735,6819423,744430,192146,2379184,2097456,501565,1701809,146888,638308,88590651
20210327,1098597,242733,2030110,747412,11323197,1591554,1178160,278731,5677465,2326415,421727,439001,3671282,1624867,921441,829687,1327254,1156621,435884,1757711,2200864,2672984,1668646,703555,1501509,310443,553722,812950,403769,2774867,757700,5654140,2907005,234208,3198989,1172868,1120893,3842037,326997,1325671,294506,1612374,6969269,783522,196126,2417271,2142877,516309,1752800,147098,662790,90718608
20210328,1108253,245355,2072778,763783,11574081,1639579,1202316,285100,5837452,2401381,422366,448334,3763201,1651837,942877,846744,1347152,1177111,446546,1791217,2251089,2725322,1703543,704342,1529606,316057,568784,828805,408402,2822580,778035,5761882,2952779,236146,3266675,1192525,1141447,3917341,331853,1355018,300563,1647245,7099537,783973,199645,2493161,2188808,524381,1794367,147413,679657,92618444
20210329,1113924,246515,2105116,769106,11802833,1664752,1225480,290527,5840928,2447419,439169,452828,3832086,1673593,956164,854185,1365477,1191044,452561,1813685,2293964,2779143,1722919,722545,1544780,317475,578881,842620,410366,2859012,785813,5861761,2974973,237354,3324459,1201827,1158213,3971897,336637,1378779,303587,1669271,7211223,784153,203266,2553135,2232951,525033,1819527,156608,687175,93986739
20210330,1134739,247097,2125696,772457,11929476,1692343,1244384,295396,5916809,2465539,444099,454535,3865951,1678147,962503,859214,1373108,1195911,455583,1842092,2316988,2801025,1753301,724564,1550103,318968,585025,845896,412057,2903068,787206,5935139,2983429,244790,3354361,1206550,1169185,4003172,345689,1387610,304480,1677569,7336199,813926,206956,2620816,2250118,530858,1829412,156638,692863,95003040
20210331,1155139,248711,2157694,788277,12120118,1720668,1262503,302043,6005354,2515040,450539,460710,3930026,1701299,970567,873196,1386294,1219539,461705,1884069,2362261,2858070,1774794,734671,1568169,327448,595579,853774,414738,2951563,797952,6051597,3026774,246500,3399897,1224792,1187225,4071410,349215,1403522,308289,1711847,7476870,814168,209145,2671921,2272698,537000,1850625,156910,708489,96531404
