States,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021
New Jersey,1448799,1511554,1555002,1609464,1661209,1712715,1749281,1775631,1821711,1871063,1958556,2018387,2090835,2126722,2158901,2199384,2251222,2312582,2372189,2430590,2475567,2510167,2514665,2606788,2661886,2720391,2774867,2822580,2859012,2903068,2951563
New Mexico,470185,475459,483920,488139,502054,519972,528061,541044,545238,546442,563149,581690,591927,608238,613331,621579,630828,642435,658512,677668,691431,699102,701349,706947,722460,739270,757700,778035,785813,787206,797952
New York,2777745,2880527,2958184,3052380,3155309,3292632,3438817,3569927,3651402,3781666,3892844,4010039,4226184,4226938,4323082,4404294,4487772,4598782,4706737,4846355,4980453,5082402,5195034,5288759,5378106,5509579,5654140,5761882,5861761,5935139,6051597
North Carolina,1615012,1626567,1665521,1692968,1706016,1758662,1805008,1838635,1858432,1906434,1950352,2014895,2181724,2193331,2233748,2293986,2337632,2406584,2468201,2538508,2608692,2649588,2670792,2726114,2775957,2837266,2907005,2952779,2974973,2983429,3026774
North Dakota,149458,149585,150729,153398,158378,164433,170418,172717,173961,175078,178388,186005,192137,197376,198656,198709,200698,203723,209842,215512,218943,220711,220775,222233,225684,229811,234208,236146,237354,244790,246500
Ohio,1723002,1755260,1794044,1829145,1874115,1943411,2001222,2042646,2070097,2109012,2161650,2232778,2319341,2388057,2441898,2466334,2507736,2574120,2646831,2728608,2810887,2866528,2903017,2965678,3031371,3111035,3198989,3266675,3324459,3354361,3399897
Oklahoma,704200,708140,720959,739525,761033,781746,802893,818496,822520,839508,863480,891158,920680,942162,955816,960142,975627,1000385,1025111,1047673,1070180,1081578,1086326,1111515,1130532,1152719,1172868,1192525,1201827,1206550,1224792
Oregon,650472,659018,666187,677995,690687,718580,742710,760168,773967,784943,785467,806341,847034,870504,888090,905439,906252,918539,952346,978493,1004599,1019809,1032205,1044742,1067154,1095410,1120893,1141447,1158213,1169185,1187225
Pennsylvania,1956197,1991624,2027725,2080306,2174827,2257020,2274225,2289199,2401448,2470284,2530355,2548224,2751412,2812196,2862957,2901757,3012928,3087042,3104875,3124834,3130512,3209843,3481464,3578990,3601385,3739501,3842037,3917341,3971897,4003172,4071410
Rhode Island,192198,196835,201965,208621,215497,222457,229095,234708,240963,246202,252545,258664,263449,267498,276994,283670,286139,290175,293953,299515,305815,310605,314642,317684,321271,324894,326997,331853,336637,345689,349215
South Carolina,755284,759604,768635,784515,800539,823824,851400,873292,885144,902545,928283,950186,1017396,1017665,1042042,1049599,1065987,1092529,1118812,1134174,1170754,1199352,1209308,1238605,1264061,1295089,1325671,1355018,1378779,1387610,1403522
